chapter,section,label,sheet
F3 SC Chp 5,A,吸热散热,F3 SC Chp 5 A.csv
F3 SC Chp 5,B,吸热散热,F3 SC Chp 5 B.csv
F3 SC Chp 6 6.1,A,Generation of Electricity,F3 SC Chp 6 6.1 A.csv
F3 SC Chp 6 6.1,B,Power Station,F3 SC Chp 6 6.1 B.csv
F3 SC Chp 6 6.1,C,AC & DC,F3 SC Chp 6 6.1 C.csv
F3 SC Chp 6 6.2,A,Transformer,F3 SC Chp 6 6.2 A.csv
F3 SC Chp 6 6.2,B,计算题,F3 SC Chp 6 6.2 B.csv
F3 SC Chp 7 7.1,A,"7.1 Work, Energy and Power",F3 SC Chp 7 7.1.csv
F3 SC Chp 7 7.2,A,7.2 Potential Energy and Kinetic Energy,F3 SC Chp 7 7.2.csv
F3 SC Chp 7 7.3,A,Principles of conservation of energy,F3 SC Chp 7 7.3.csv
F3 SC Chp 8 8.1,A,8.1 Discovery of Radioactivity,F3 SC Chp 8 8.1.csv
F3 SC Chp 8 8.1,A,8.2 Atom and Nucleus,F3 SC Chp 8 8.2.csv
F3 SC Chp 8 8.3,A,8.3 Ionising Radiation and Non-ionising Radiation,F3 SC Chp 8 8.3.csv
