title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Eye,radio,A 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,A,eye.jpg
,radio,B 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,B,eye.jpg
,radio,C 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,C,eye.jpg
,radio,D 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,D,eye.jpg
,radio,E 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,E,eye.jpg
,radio,F 是?,Sclera / Sklera,Choroid / Koroid,Retina,Yellow spot / Bintik kuning,Optic nerve / Saraf optik,Blind spot / Bintik buta,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,F,eye.jpg
,radio,G 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,I,eye.jpg
,radio,H 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,H,eye.jpg
,radio,I 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,G,eye.jpg
,radio,J 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,F,eye.jpg
,radio,K 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,E,eye.jpg
,radio,L 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,D,eye.jpg
,radio,M 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,C,eye.jpg
,radio,N 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,B,eye.jpg
,radio,O 是?,Lens / Kanta,Ciliary muscle / Otot silia,Suspensory ligament / Ligamen penggantung,Cornea / Kornea,Iris,Pupil,Aqueous humour / Gelemair,Conjunctiva / Konjuktiva,Vitreous humour / Gelemaca,A,eye.jpg
