title,type,question,A,B,C,D,E,F,answer,image
Defects of sight / Kecacatan penglihatan,radio,"Image is focused in front of retina
Imej difokuskan di hadapan retina",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,A,
,radio,"Wear concave lens
Memakai kanta cekung",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,A,
,radio,"Eyeball too long
Bebola mata terlalu panjang",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,A,
,radio,"Inability to see distant objects clearly.
Tidak dapat melihat objek jauh dengan jelas.",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,A,
,radio,"Image is focused behind the retina
Imej difokuskan di belakang retina",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,B,
,radio,"Eyeball too short
Bebola mata terlalu pendek",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,B,
,radio,"Wear convexlens
Memakai kanta cembung",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,B,
,radio,"Inability to see near objects clearly.
Tidak dapat melihat objek dekat dengan jelas.",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,B,
,radio,"Uneven curvature of the cornea or eye lens.
Permukaan lengkungan kornea atau kanta yang tidak sekata.",short-sightedness / rabun jauh,long-sightedness / rabun dekat,astigmatism / astigmatisme,,,,C,
,text,视觉错误是,,,,,,,"optical illusion,optical illusions,ilusi optik",
