title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Ear,radio,"Collects and directs sound waves into the ear canal /
Mengumpul dan menghantar gelombang bunyi ke dalam salur telinga",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,A,
,radio,"Directs sound waves to the eardrum / 
Menghantar gelombang bunyi ke gegendang telinga",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,B,
,radio,"Vibrates according to the frequency of the sound waves received and transfers the vibrations to the ossicles /
Bergetar mengikut frekuensi gelombang bunyi yang terkena padanya dan memindahkan getaran ke osikel",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,C,
,radio,"Amplify sound vibrations and transfer them to the oval window /
Menguatkan getaran bunyi lalu memindahkannya ke jendela bujur",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,D,
,radio,"Collects and transfers sound vibrations from the ossicles to the cochlea /
Mengumpul dan menghantar getaran bunyi dari osikel ke koklea",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,E,
,radio,"Balances the air pressure on both sides of the eardrum /
Mengimbangkan tekanan udara di kedua-dua belah gegendang telinga",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,F,
,radio,"Detects and converts sound vibrations into nerve impulses /
Mengesan dan menukar getaran bunyi kepada impuls saraf",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,G,
,radio,"Detect the position of the head and help to balance the body /
Mengesan kedudukan kepala dan membantu mengawal keseimbangan badan",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,H,
,radio,"Sends nerve impulses from the cochlea to the brain to be interpreted /
Menghantar impuls saraf dari koklea ke otak untuk ditafsirkan",Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,I,
,checkbox,哪些与听觉无关？,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,"F,H",
