title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Ear,radio,A 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,A,ear.jpg
,radio,B 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,B,ear.jpg
,radio,C 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,C,ear.jpg
,radio,D 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,E,ear.jpg
,radio,E 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,F,ear.jpg
,radio,F 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,G,ear.jpg
,radio,G 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,I,ear.jpg
,radio,H 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,H,ear.jpg
,radio,I 是,Earlobe / Cuping telinga,Ear canal / Salur telinga,Eardrum / Gegendang telinga,Ossicles / Osikel,Oval window / Jendela bujur,Eustachian tube / Tiub Eustachio,Cochlea / Koklea,Semicircular canals / Salur separuh bulat,Auditory nerve / Saraf auditori,D,ear.jpg
,text,H 的名字,,,,,,,,,,"semicircular canals,salur separuh bulat",ear.jpg
,text,E 的名字,,,,,,,,,,"Eustachian tube,tiub Eustachio",ear.jpg
