title,type,question,A,B,C,D,E,answer,image
Tongue,radio,1 more sensitive to / 1 lebih peka kepada,sweet / manis,salty / masin,sour / masam,bitter / pahit,umami,A,tongue.png
,radio,2 more sensitive to / 2 lebih peka kepada,sweet / manis,salty / masin,sour / masam,bitter / pahit,umami,B,tongue.png
,radio,3 more sensitive to / 3 lebih peka kepada,sweet / manis,salty / masin,sour / masam,bitter / pahit,umami,C,tongue.png
,radio,4 more sensitive to / 4 lebih peka kepada,sweet / manis,salty / masin,sour / masam,bitter / pahit,umami,D,tongue.png
,radio,5 more sensitive to / 5 lebih peka kepada,sweet / manis,salty / masin,sour / masam,bitter / pahit,umami,E,tongue.png
,text,味蕾叫,,,,,,"taste buds,taste bud,tunas rasa",
,text,溶解的英文/马来文是,,,,,,"dissolve,melarut",
,text,刺激的英文/马来文是,,,,,,"stimulate,merangsang",
,text,粘液的英文/马来文是,,,,,,"mucus,mukus",
,text,唾液的英文/马来文是,,,,,,"saliva,air liur",
