title,type,question,A,B,C,D,E,F,answer,image
Tropism,radio,Positive phototropism / fototropisme positive,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,A,
,radio,Positive hydrotropism / Hidrotropisme positive,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,B,
,radio,Negative phototropism / Fototropisme negatif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,B,
,radio,Negative hydrotropism / Hidrotropisme negatif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,A,
,radio,Positive geotropism / Geotropisme positif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,B,
,radio,Negative geotropism / Geotropisme negatif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,A,
,radio,Negative thigmotropism / Tigmotropisme negatif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,B,
,radio,Positive thigmotropism / Tigmotropisme positif,Shoot / Pucuk,Root / Akar,Tendrils or twining stems / Sulur paut atau batang yang melilit,,,,C,
,radio,Geotropism / Geotropisme 是对什么刺激有反应？,Touch / Sentuh,Light / Cahaya,Gravity / Graviti,Water / Air,,,C,
,radio,Hydrotropism / Hidrotropisme 是对什么刺激有反应？,Touch / Sentuh,Light / Cahaya,Gravity / Graviti,Water / Air,,,D,
,radio,Thigmotropism / Tigmotropisme是对什么刺激有反应？,Touch / Sentuh,Light / Cahaya,Gravity / Graviti,Water / Air,,,A,
,radio,Phototropism / Fototropisme 是对什么刺激有反应？,Touch / Sentuh,Light / Cahaya,Gravity / Graviti,Water / Air,,,B,
,radio,Nastic movement / Gerak balas nastik 是对什么刺激有反应？,Touch / Sentuh,Light / Cahaya,Gravity / Graviti,Water / Air,,,A,
,text,含羞草的英文/马来文是,,,,,,,"mimosa,mimosa pudica,pokok semalu,mimosa plant",
