title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Human Respiratory System,radio,A是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,A,lung.png
,radio,B是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,B,lung.png
,radio,C是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,C,lung.png
,radio,D是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,D,lung.png
,radio,E是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,E,lung.png
,radio,F是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,F,lung.png
,radio,G是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,G,lung.png
,radio,H是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,H,lung.png
,radio,I是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,I,lung.png
,radio,J是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,J,lung.png
,radio,K是,Nasal Cavity / Rongga hidung,Nostril / Lubang hidung,Pharynx / Farinks,Epiglottis / Epiglotis,Trachea / Trakea,Diaphragm / Diafragma,Larynx / Larinks,Bronchus / Bronkus,Intercostal Muscle / Otot interkostal,Bronchiole / Bronkiol,Alveolus,K,lung.png
