title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
Heart,radio,a,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,F,heart.png
,radio,b,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,E,heart.png
,radio,c,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,H,heart.png
,radio,d,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,G,heart.png
,radio,e,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,B,heart.png
,radio,f,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,C,heart.png
,radio,g,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,A,heart.png
,radio,h,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,D,heart.png
,radio,i,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,J,heart.png
,radio,j,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,K,heart.png
,radio,k,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,I,heart.png
,radio,L,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,L,heart.png
