title,type,question,A,B,answer,image
Heart,text,A,,,"vena cava,vena kava,Superior vena cava,Vena kava superior",heart3d.jpg
,text,B,,,"semilunar valve,injap sabit",heart3d.jpg
,text,C,,,"right atrium,atrium kanan",heart3d.jpg
,text,D,,,"tricuspid valve,injap trikuspid",heart3d.jpg
,text,E,,,"vena cava,vena kava,Inferior vena cava,Vena kava inferior",heart3d.jpg
,text,F,,,"right ventricle,ventrikel kanan",heart3d.jpg
,text,G,,,septum,heart3d.jpg
,text,H,,,"left ventricle,ventrikel kiri",heart3d.jpg
,text,I,,,"semilunar valve,injap sabit",heart3d.jpg
,text,J,,,"bicuspid valve,injap bikuspid",heart3d.jpg
,text,K,,,"left atrium,atrium kiri",heart3d.jpg
,text,L,,,"pulmonary vein,vena pulmonari,pulmonary veins",heart3d.jpg
,text,M,,,"pulmonary artery,arteri pulmonari",heart3d.jpg
,text,N,,,aorta,heart3d.jpg
