title,type,question,A,B,C,D,answer,image
"Components and Constituents of Human Blood, Human Blood Groups, Antibodies in Blood Plasma and Compatibility of Blood Groups of Donors and Recipients",radio,Blood plasma / Plasma darah 占血的多少%,55%,45%,<1%,,A,
,radio,White blood cells and platelets / Sel darah putih dan platlet占血的多少%,55%,45%,<1%,,C,
,radio,Red blood cells / Sel darah merah占血的多少%,55%,45%,<1%,,B,
,radio,Blood group A / Kumpulan darah A 有,Antigen A,Antigen B,no antigen,,A,
,radio,Blood group B / Kumpulan darah B 有,Antigen A,Antigen B,no antigen,,B,
,checkbox,Blood group AB / Kumpulan darah AB 有,Antigen A,Antigen B,no antigen,,"A,B",
,radio,Blood group O / Kumpulan darah O 有,Antigen A,Antigen B,no antigen,,C,
,checkbox,Blood group O / Kumpulan darah O 有什么 antibodies / antibodi,Anti-A,Anti-B,no antibody / tiada antibodi,,"A,B",
,radio,Blood group AB / Kumpulan darah AB 有什么 antibodies / antibodi,Anti-A,Anti-B,no antibody / tiada antibodi,,C,
,radio,Blood group A / Kumpulan darah A 有什么 antibodies / antibodi,Anti-A,Anti-B,no antibody / tiada antibodi,,B,
,radio,Blood group B / Kumpulan darah B 有什么 antibodies / antibodi,Anti-A,Anti-B,no antibody / tiada antibodi,,A,
,radio,谁是Universal donor / Penderma universal ?,A,B,AB,O,D,
,radio,谁是Universal recipient / Penerima universal ?,A,B,AB,O,C,
,checkbox,A 型血能捐给谁？,A,B,AB,O,"A,C",
,checkbox,B 型血能捐给谁？,A,B,AB,O,"B,C",
,checkbox,O 型血能捐给谁？,A,B,AB,O,"A,B,C,D",
,radio,AB 型血能捐给谁？,A,B,AB,O,C,
,checkbox,AB 型血能收谁的血？,A,B,AB,O,"A,B,C,D",
,radio,O 型血能收谁的血？,A,B,AB,O,D,
,checkbox,A 型血能收谁的血？,A,B,AB,O,"A,D",
,checkbox,B 型血能收谁的血？,A,B,AB,O,"B,D",
,text,B 型血能收到A型血的话血会怎样? (一个字),,,,,"agglutination,coagulation,penggumpalan",
