title,type,question,A,B,C,D,E,F,G,answer,image
Reactivity Series of Metals,radio,Reactivity / Kereaktifan 排第1的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,A,
,radio,Reactivity / Kereaktifan 排第2的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,B,
,radio,Reactivity / Kereaktifan 排第3的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,C,
,radio,Reactivity / Kereaktifan 排第4的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,D,
,radio,烧了出超亮的白光的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,D,
,radio,Reactivity / Kereaktifan 排第5的是,Potassium / Kalium,Sodium / Natrium,Calcium / Kalsium,Magnesium,Aluminium,,,E,
,radio,为什么 Magnesium 的火不能用 Carbon Dioxide / Karbon Dioksida 来灭？,Magnesium is more reactive than carbon / Magnesium lebih reaktif daripada karbon,Magnesium is less reactive than carbon / Magnesium kurang reaktif daripada karbon,,,,,,A,
,radio,Reactivity / Kereaktifan 第6，排在 Carbon / Karbon 之后的是,Zinc / Zink,Iron / Ferum,Tin / TImah,Lead / Plumbum,,,,A,
,radio,Reactivity / Kereaktifan 第7，排在 Hydrogen / Hidrogen 之后的是,Zinc / Zink,Iron / Ferum,Tin / TImah,Lead / Plumbum,,,,B,
,radio,Reactivity / Kereaktifan 第8，排在 Iron / Ferum 之后的是,Zinc / Zink,Iron / Ferum,Tin / TImah,Lead / Plumbum,,,,C,
,radio,Reactivity / Kereaktifan 第9，排在 Tin / Timah 之后的是,Zinc / Zink,Iron / Ferum,Tin / TImah,Lead / Plumbum,,,,D,
,radio,Reactivity / Kereaktifan 第10，排在 Lead / Plumbum 之后的是,Copper / Kuprum,Mercury / Merkuri,Silver / Argentum,Gold / Emas,,,,A,
,radio,Reactivity / Kereaktifan 第11，排在 Copper / Kuprum 之后的是,Copper / Kuprum,Mercury / Merkuri,Silver / Argentum,Gold / Emas,,,,B,
,radio,Reactivity / Kereaktifan 第12，最后第2个,Copper / Kuprum,Mercury / Merkuri,Silver / Argentum,Gold / Emas,,,,C,
,radio,Reactivity / Kereaktifan 第13，最后一个,Copper / Kuprum,Mercury / Merkuri,Silver / Argentum,Gold / Emas,,,,D,
