title,type,question,A,B,C,D,E,F,G,answer,image
反应+实验,radio,"Aluminium Oxide + Carbon →
Aluminium Oksida + Karbon →",Aluminium + Carbon dioxide / Aluminium + Karbon dioksida,Aluminium + Carbon / Aluminium + Karbon,Aluminium Oxide + Carbon / Aluminium Oksida + Karbon,,,,,C,
,radio,"Magnesium Oxide + Carbon →
Magnesium  Oksida + Karbon →",Magnesium + Carbon dioxide / Magnesium + Karbon dioksida,Magnesium + Carbon / Aluminium + Karbon,Magnesium Oxide + Carbon / Magnesium Oksida + Karbon,,,,,C,
,radio,"Zinc Oxide + Carbon →
Zink Oksida + Karbon →",Zinc + Carbon dioxide / Zink + Karbon dioksida,Zinc + Carbon / Zink + Karbon,Zinc Oxide + Carbon / Zink Oksida + Karbon,,,,,A,
,radio,"Zinc Oxide + Hydrogen →
Zink Oksida + Hidrogen →",Zinc + Hydrogen dioxide / Zink + Hidrogen dioksida,Zinc + Hydrogen / Zink + Hydrogen,Zinc Oxide + Hydrogen / Zink Oksida + Hidrogen,,,,,C,
,radio,"Aluminium Oxide + Hydrogen →
Aluminium Oksida + Hidrogen →",Aluminium + Hydrogen dioxide / Aluminium + Hidrogen dioksida,Aluminium + Water / Aluminium + Air,Aluminium Oxide + Hydrogen / Aluminium Oksida + Hidrogen,,,,,C,
,radio,"Iron Oxide + Hydrogen →
Ferum Oksida + Hidrogen →",Iron + Hydrogen dioxide / Ferum + Hidrogen dioksida,Iron + Hydrogen / Ferum + Hydrogen,Iron Oxide + Hydrogen / Ferum Oksida + Hidrogen,,,,,B,
,radio,"Tin Oxide + Hydrogen →
Timah Oksida + Hidrogen →",Tin + Hydrogen dioxide / Timah + Hidrogen dioksida,Tin + Hydrogen / Timah + Hidrogen,Tin Oxide + Hydrogen / Timah Oksida + Hidrogen,,,,,B,
,radio,"Lead Oxide + Carbon →
Plumbum Oksida + Karbon →",Lead + Carbon dioxide / Plumbum + Karbon dioksida,Lead + Carbon / Plumbum + Karbon,Lead Oxide + Carbon / Plumbum Oksida + Karbon,,,,,A,
,radio,"Iron Oxide + Carbon →
Ferum Oksida + Karbon →",Iron + Carbon dioxide / Ferum + Karbon dioksida,Iron + Carbon / Ferum + Karbon,Iron Oxide + Carbon / Ferum Oksida + Karbon,,,,,A,
,radio,"Tin Oxide + Carbon →
Timah Oksida + Karbon →",Tin + Carbon dioxide / Timah + Karbon dioksida,Tin + Carbon / Timah + Karbon,Tin Oxide + Carbon / Timah Oksida + Karbon,,,,,A,
,radio,potassium manganate(VII) / kalium manganat(VII) 有什么用？,To provide oxigen / Untuk membekal oksigen,To separate the potassium manganate with metal powder / Untuk mengasingkan kalium manganat dengan serbuk logam,To provide carbon dioxide / Untuk membekal karbon dioksida,To combine the potassium manganate with metal powder / Untuk mengabungkan kalium manganat dengan serbuk logam,,,,A,
,radio,glass wool / wul kaca 有什么用？,To provide oxigen / Untuk membekal oksigen,To separate the potassium manganate with metal powder / Untuk mengasingkan kalium manganat dengan serbuk logam,To provide carbon dioxide / Untuk membekal karbon dioksida,To combine the potassium manganate with metal powder / Untuk mengabungkan kalium manganat dengan serbuk logam,,,,B,
